cik,name,tickers,sector,stratum,sic,member_from,member_to,n_reconstitutions,entry_sector_rank,exit_sector_rank,median_sector_rank,median_float_usd,all_dates
1164727,NEWMONT Corp /DE/,"NEM,NEMCL",materials_realestate,extension,1040,2020-07-01,2024-07-01,4,10,7,7.0,48424608927.0,False
906107,VIVMARK RESIDENTIAL,VMRK,materials_realestate,extension,6798,2020-07-01,2021-07-01,1,12,12,12.0,27900000000.0,False
1707925,LINDE PLC,LIN,materials_realestate,extension,2810,2021-07-01,,6,2,1,1.0,167500000000.0,False
1297996,"DIGITAL REALTY TRUST, INC.","DLR,DLR-PK,DLR-PJ,DLR-PL",materials_realestate,extension,6798,2021-07-01,2023-07-01,2,10,12,11.0,40000000000.0,False
1034054,SBA COMMUNICATIONS CORP,SBAC,materials_realestate,extension,6798,2021-07-01,2022-07-01,1,11,11,11.0,33000000000.0,False
1751788,DOW INC.,DOW,materials_realestate,extension,2821,2021-07-01,2024-07-01,3,12,12,12.0,37000000000.0,False
831259,FREEPORT-MCMORAN INC,FCX,materials_realestate,extension,1000,2022-07-01,,5,8,9,8.0,57100000000.0,False
1063761,SIMON PROPERTY GROUP INC.,"SPG,SPG-PJ",materials_realestate,extension,6798,2022-07-01,2023-07-01,1,11,11,11.0,42527000000.0,False
726728,REALTY INCOME CORP,O,materials_realestate,extension,6798,2023-07-01,,4,9,12,10.5,44100000000.0,False
766704,WELLTOWER INC.,WELL,materials_realestate,extension,6798,2023-07-01,,4,11,3,8.0,52283534000.0,False
73309,NUCOR CORP,NUE,materials_realestate,extension,3312,2024-07-01,2025-07-01,1,11,11,11.0,40560000000.0,False
1063761,SIMON PROPERTY GROUP INC.,"SPG,SPG-PJ",materials_realestate,extension,6798,2024-07-01,2026-07-01,2,12,9,10.5,43263500000.0,False
1297996,"DIGITAL REALTY TRUST, INC.","DLR,DLR-PK,DLR-PJ,DLR-PL",materials_realestate,extension,6798,2025-07-01,,2,8,11,9.5,54500000000.0,False
1164727,NEWMONT Corp /DE/,"NEM,NEMCL",materials_realestate,extension,1040,2025-07-01,,2,10,8,9.0,56131113697.0,False
4281,Howmet Aerospace Inc.,HWM,materials_realestate,extension,3350,2026-07-01,,1,6,6,6.0,75000000000.0,False
849395,CRH PUBLIC LTD CO,CRH,materials_realestate,extension,3241,2026-07-01,,1,10,10,10.0,61825009498.0,False
320193,Apple Inc.,AAPL,tech,core,3571,2016-07-01,,11,1,2,1.0,1070633000000.0,True
789019,MICROSOFT CORP,MSFT,tech,core,7372,2016-07-01,,11,2,3,2.0,1200000000000.0,True
1326801,"Meta Platforms, Inc.",META,tech,core,7370,2016-07-01,,11,3,5,4.0,486000000000.0,True
51143,INTERNATIONAL BUSINESS MACHINES CORP,IBM,tech,core,3570,2016-07-01,,11,4,9,9.0,131400000000.0,True
50863,INTEL CORP,INTC,tech,core,3674,2016-07-01,2026-07-01,10,5,17,5.0,156550000000.0,False
858877,"CISCO SYSTEMS, INC.",CSCO,tech,core,3576,2016-07-01,,11,6,10,7.0,204000000000.0,True
1341439,ORACLE CORP,"ORCL,ORCL-PD",tech,core,7372,2016-07-01,,11,7,7,9.0,129615142000.0,True
804328,QUALCOMM INC/DE,QCOM,tech,core,3663,2016-07-01,,11,8,15,11.0,109303248283.0,True
47217,HP INC,HPQ,tech,core,3570,2016-07-01,2020-07-01,4,9,19,18.0,33116821345.0,False
97476,TEXAS INSTRUMENTS INC,TXN,tech,core,3674,2016-07-01,,11,10,13,10.0,116120360680.0,True
790070,EMC CORP,,tech,core,3572,2016-07-01,2017-07-01,1,11,11,11.0,50627600803.0,False
8670,AUTOMATIC DATA PROCESSING INC,ADP,tech,core,7374,2016-07-01,2022-07-01,6,12,14,14.0,45733739152.5,False
1058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,CTSH,tech,core,7371,2016-07-01,2021-07-01,5,13,20,16.0,37000000000.0,False
1108524,"Salesforce, Inc.",CRM,tech,core,7372,2016-07-01,,11,14,12,10.0,139600000000.0,True
723125,MICRON TECHNOLOGY INC,MU,tech,core,3674,2016-07-01,2017-07-01,1,15,15,15.0,27700000000.0,False
6951,APPLIED MATERIALS INC /DE,AMAT,tech,core,3674,2016-07-01,,11,16,17,16.0,49674881854.0,True
1271024,LINKEDIN CORP,,tech,core,7370,2016-07-01,2017-07-01,1,17,17,17.0,23695488242.0,False
896878,INTUIT INC.,INTU,tech,core,7372,2016-07-01,2021-07-01,5,18,15,17.0,28800000000.0,False
106040,WESTERN DIGITAL CORP,WDC,tech,core,3572,2016-07-01,2017-07-01,1,19,19,19.0,23000000000.0,False
1137789,Seagate Technology Holdings plc,STX,tech,core,3572,2016-07-01,2017-07-01,1,20,20,20.0,21700000000.0,False
1045810,NVIDIA CORP,NVDA,tech,core,3674,2017-07-01,,10,13,1,5.5,337790000000.0,False
718877,"Activision Blizzard, Inc.",,tech,core,7372,2017-07-01,2022-07-01,5,14,16,14.0,42587342045.0,False
712515,ELECTRONIC ARTS INC.,EA,tech,core,7372,2017-07-01,2021-07-01,4,15,18,17.5,35827500000.0,False
804753,CERNER Corp,,tech,core,7373,2017-07-01,2018-07-01,1,19,19,19.0,17600000000.0,False
849399,Gen Digital Inc.,"GEN,GENVR",tech,core,7372,2017-07-01,2018-07-01,1,20,20,20.0,15559432822.0,False
1652044,Alphabet Inc.,"GOOGL,GOOG,GOOGM,GOOGN",tech,core,7370,2018-07-01,,9,2,4,3.0,1256100000000.0,False
1645590,Hewlett Packard Enterprise Co,"HPE,HPE-PC",tech,core,3570,2018-07-01,2019-07-01,1,19,19,19.0,30672608482.0,False
1418091,"TWITTER, INC.",,tech,core,7370,2019-07-01,2020-07-01,1,20,20,20.0,31200000000.0,False
1730168,Broadcom Inc.,AVGO,tech,core,3674,2020-07-01,,7,7,6,7.0,220100000000.0,False
1373715,"ServiceNow, Inc.",NOW,tech,core,7372,2020-07-01,,7,17,14,17.0,82900000000.0,False
2488,ADVANCED MICRO DEVICES INC,AMD,tech,core,3674,2021-07-01,,6,15,11,12.0,161350000000.0,False
1585521,"Zoom Communications, Inc.",ZM,tech,core,7370,2021-07-01,2023-07-01,2,18,18,18.0,73450000000.0,False
769397,"Autodesk, Inc.",ADSK,tech,core,7372,2021-07-01,2022-07-01,1,19,19,19.0,51800000000.0,False
896878,INTUIT INC.,INTU,tech,core,7372,2022-07-01,,5,16,16,15.0,152800000000.0,False
1512673,"Block, Inc.","XYZ,BSQKZ",tech,core,7372,2022-07-01,2023-07-01,1,17,17,17.0,95200000000.0,False
1564408,Snap Inc,SNAP,tech,core,7370,2022-07-01,2023-07-01,1,20,20,20.0,81700000000.0,False
8670,AUTOMATIC DATA PROCESSING INC,ADP,tech,core,7374,2023-07-01,,4,16,19,17.5,101199252324.0,False
707549,LAM RESEARCH CORP,LRCX,tech,core,3559,2023-07-01,2024-07-01,1,18,18,18.0,77032123135.0,False
718877,"Activision Blizzard, Inc.",,tech,core,7372,2023-07-01,2024-07-01,1,20,20,20.0,60436471136.0,False
813672,CADENCE DESIGN SYSTEMS INC,CDNS,tech,core,7372,2024-07-01,2025-07-01,1,19,19,19.0,63740000000.0,False
1640147,Snowflake Inc.,SNOW,tech,core,7372,2024-07-01,2025-07-01,1,20,20,20.0,56600000000.0,False
1327567,Palo Alto Networks Inc,PANW,tech,core,3577,2025-07-01,,2,18,18,18.0,113900000000.0,False
1596532,"Arista Networks, Inc.",ANET,tech,core,3576,2025-07-01,2026-07-01,1,20,20,20.0,90200000000.0,False
1321655,Palantir Technologies Inc.,PLTR,tech,core,7372,2026-07-01,,1,8,8,8.0,299300000000.0,False
1535527,"CrowdStrike Holdings, Inc.",CRWD,tech,core,7372,2026-07-01,,1,20,20,20.0,109300000000.0,False
732712,VERIZON COMMUNICATIONS INC,VZ,utilities,extension,4813,2016-07-01,,11,1,2,1.0,207844016206.0,True
732717,AT&T INC.,"T,TBB,T-PA,T-PC",utilities,extension,4813,2016-07-01,,11,2,1,2.0,207000000000.0,True
753308,NEXTERA ENERGY INC,"NEE,NEE-PN,NEE-PS,NEE-PT,NEE-PU,NEE-PV,NEE-PW",utilities,extension,4911,2016-07-01,,11,3,3,3.0,117405158883.0,True
715957,"DOMINION ENERGY, INC",D,utilities,extension,4911,2016-07-01,2026-07-01,10,4,12,5.0,48000000000.0,False
92122,SOUTHERN CO,"SO,SOJC,SOJD,SOJE,SOJF,SOMN",utilities,extension,4911,2016-07-01,,11,5,5,5.0,57800000000.0,True
1109357,EXELON CORP,EXC,utilities,extension,4931,2016-07-01,2025-07-01,9,6,11,7.0,40536144047.0,False
4904,AMERICAN ELECTRIC POWER CO INC,AEP,utilities,extension,4911,2016-07-01,,11,7,10,8.0,42651294349.0,True
1032208,SEMPRA,"SRE,SREA",utilities,extension,4932,2016-07-01,,11,8,12,9.0,37700000000.0,True
823768,WASTE MANAGEMENT INC,WM,utilities,extension,4953,2016-07-01,,11,9,7,7.0,48800000000.0,True
788784,PUBLIC SERVICE ENTERPRISE GROUP INC,PEG,utilities,extension,4931,2016-07-01,2017-07-01,1,10,10,10.0,19819621677.0,False
922224,PPL Corp,"PPL,PPLC",utilities,extension,4911,2016-07-01,2019-07-01,3,11,10,10.0,25577464218.0,False
827052,EDISON INTERNATIONAL,EIX,utilities,extension,4911,2016-07-01,2019-07-01,3,12,11,11.0,25300000000.0,False
1047862,CONSOLIDATED EDISON INC,ED,utilities,extension,4931,2017-07-01,2021-07-01,4,12,12,12.0,24600000000.0,False
788784,PUBLIC SERVICE ENTERPRISE GROUP INC,PEG,utilities,extension,4931,2019-07-01,2021-07-01,2,10,11,10.5,28342835232.5,False
72903,XCEL ENERGY INC,"XEL,XELLL",utilities,extension,4931,2019-07-01,2024-07-01,5,12,12,11.0,32825311125.0,False
1283699,"T-Mobile US, Inc.","TMUS,TMUSI,TMUSL,TMUSZ",utilities,extension,4812,2021-07-01,,6,7,4,4.0,83400000000.0,False
72741,EVERSOURCE ENERGY,ES,utilities,extension,4911,2021-07-01,2022-07-01,1,12,12,12.0,28496151703.0,False
1060391,"REPUBLIC SERVICES, INC.",RSG,utilities,extension,4953,2022-07-01,,5,12,8,8.0,48400000000.0,False
1318220,"Waste Connections, Inc.",WCN,utilities,extension,4953,2024-07-01,2026-07-01,2,12,11,11.5,40921385408.5,False
1868275,Constellation Energy Corp,CEG,utilities,extension,4911,2025-07-01,,2,7,6,6.5,81562489680.5,False
1692819,Vistra Corp.,VST,utilities,extension,4911,2026-07-01,,1,9,9,9.0,65311459773.0,False
3570,"Cheniere Energy, Inc.",LNG,utilities,extension,4924,2026-07-01,,1,11,11,11.0,53600000000.0,False
